"","거주지","성별","나이","혼인상태","주관적만족감","건강평가","흡연여부","음주여부","가정생활스트레스","일상생활스트레스","자살충동여부","자살충동이유","본인경제활동여부","배우자경제활동여부","가구소득"
"37774","세종","여자",46,2,1,2,2,2,2,2,2,NA,1,NA,8
"37775","세종","여자",18,1,2,1,2,1,3,3,2,NA,2,NA,8
"37776","세종","여자",16,1,3,1,2,2,3,3,2,NA,2,NA,8
"37778","세종","여자",51,2,1,3,2,2,3,3,2,NA,2,1,6
"37779","세종","남자",53,2,2,3,2,1,3,3,2,NA,1,NA,6
"37780","세종","여자",24,1,1,3,2,1,3,3,2,NA,2,NA,6
"37781","세종","남자",45,2,1,1,2,1,4,3,2,NA,1,1,8
"37782","세종","여자",42,2,1,2,2,2,3,3,2,NA,1,NA,8
"37785","세종","남자",33,2,2,3,2,1,2,2,2,NA,1,2,7
"37786","세종","여자",32,2,3,3,2,1,2,2,1,5,2,NA,7
"37788","세종","남자",45,2,3,3,2,1,3,3,2,NA,1,1,8
"37789","세종","여자",39,2,1,2,2,1,3,3,2,NA,1,NA,8
"37792","세종","남자",45,2,1,1,2,1,4,2,2,NA,1,2,8
"37793","세종","여자",45,2,1,1,2,1,3,3,2,NA,2,NA,8
"37794","세종","남자",19,1,3,2,1,1,2,2,2,NA,2,NA,8
"37795","세종","여자",15,1,1,1,2,2,4,3,2,NA,2,NA,8
"37796","세종","여자",86,3,1,2,2,1,4,4,2,NA,2,NA,8
"37797","세종","남자",68,2,3,4,2,2,3,3,2,NA,2,2,4
"37798","세종","여자",66,2,2,3,2,2,3,3,2,NA,2,NA,4
"37799","세종","여자",36,1,2,2,2,2,3,3,2,NA,1,NA,4
"37800","세종","남자",44,2,2,2,2,1,2,2,2,NA,1,2,8
"37801","세종","여자",40,2,2,2,2,2,3,3,2,NA,2,NA,8
"37802","세종","남자",13,1,2,1,2,2,3,2,2,NA,2,NA,8
"37804","세종","남자",48,2,2,2,2,1,2,1,2,NA,1,1,8
"37805","세종","여자",42,2,3,2,2,1,2,2,1,6,1,NA,8
"37806","세종","여자",19,1,1,1,2,1,3,3,2,NA,1,NA,8
"37807","세종","여자",15,1,3,1,2,2,4,2,2,NA,2,NA,8
"37809","세종","남자",54,2,2,2,2,1,3,2,2,NA,1,1,8
"37810","세종","여자",50,2,2,2,2,2,2,2,2,NA,1,NA,8
"37811","세종","여자",90,3,2,3,2,2,2,3,2,NA,2,NA,8
"37812","서울","남자",57,2,2,1,1,1,3,3,2,NA,1,2,3
"37813","세종","남자",58,2,2,2,2,1,3,3,2,NA,1,1,8
"37814","세종","여자",57,2,1,2,2,1,4,3,2,NA,1,NA,8
"37815","세종","남자",52,2,1,2,2,1,4,3,2,NA,1,1,8
"37816","세종","여자",49,2,1,1,2,2,4,3,2,NA,1,NA,8
"37817","세종","남자",17,1,2,1,2,2,3,3,2,NA,2,NA,8
"37818","세종","남자",48,2,1,1,2,1,2,2,2,NA,1,2,8
"37819","세종","여자",44,2,2,2,2,1,2,2,2,NA,2,NA,8
"37820","세종","여자",16,1,3,3,2,2,2,2,1,6,2,NA,8
"37821","세종","여자",13,1,1,1,2,2,2,2,2,NA,2,NA,8
"37822","세종","남자",68,2,1,4,2,1,2,2,2,NA,1,1,8
"37823","세종","여자",56,2,1,2,2,1,2,2,2,NA,1,NA,8
"37824","세종","남자",24,1,5,3,2,1,4,2,2,NA,1,NA,4
"37825","세종","남자",64,2,3,3,2,1,2,2,2,NA,2,2,4
"37826","세종","여자",63,2,3,3,2,2,2,2,2,NA,2,NA,4
"37827","세종","여자",35,1,3,4,2,2,2,1,1,4,1,NA,4
"37828","세종","남자",32,1,3,3,2,2,2,2,2,NA,2,NA,4
"37829","세종","남자",44,2,3,3,1,1,4,2,2,NA,1,1,5
"37830","세종","여자",38,2,3,2,2,1,3,3,2,NA,1,NA,5
"37833","세종","남자",62,2,3,4,2,1,3,3,2,NA,1,2,8
"37834","세종","여자",58,2,3,3,2,1,2,2,2,NA,2,NA,8
"37835","세종","남자",33,1,2,2,1,1,3,2,2,NA,1,NA,8
"37836","세종","남자",31,1,3,3,1,1,2,2,2,NA,1,NA,8
"37837","세종","남자",58,2,2,2,1,1,4,3,2,NA,1,1,8
"37838","세종","여자",58,2,1,2,2,2,4,3,2,NA,1,NA,8
"37839","세종","남자",27,1,2,2,2,1,3,2,2,NA,2,NA,8
"37840","세종","여자",51,2,2,2,2,1,3,3,2,NA,2,1,6
"37841","세종","남자",21,1,2,2,2,1,3,2,2,NA,2,NA,6
"37842","서울","남자",46,2,3,2,1,1,3,2,2,NA,1,1,6
"37843","서울","여자",39,2,2,2,2,2,3,2,2,NA,1,NA,6
"37845","세종","남자",40,2,1,1,2,2,3,3,2,NA,1,2,8
"37846","세종","여자",38,2,1,1,2,2,3,3,2,NA,2,NA,8
"37849","세종","남자",43,2,2,3,1,1,3,3,2,NA,1,2,8
"37850","세종","여자",41,2,1,2,2,1,3,3,2,NA,2,NA,8
"37852","세종","남자",39,2,1,1,2,2,3,3,2,NA,1,1,7
"37853","세종","여자",41,2,1,1,2,2,2,2,2,NA,1,NA,7
"37856","세종","남자",43,2,1,2,1,1,3,3,2,NA,1,2,6
"37857","세종","여자",40,2,1,2,2,1,2,2,2,NA,2,NA,6
"37860","세종","남자",48,2,2,2,2,1,2,2,2,NA,1,1,8
"37861","세종","여자",43,2,2,2,2,1,2,2,2,NA,1,NA,8
"37864","세종","여자",42,4,1,2,2,1,3,3,2,NA,1,NA,8
"37865","세종","여자",14,1,1,1,2,2,4,4,2,NA,2,NA,8
"37867","세종","여자",68,3,1,1,2,2,3,3,2,NA,2,NA,8
"37868","세종","남자",48,2,2,2,2,1,2,2,2,NA,1,1,8
"37869","세종","여자",46,2,1,3,2,2,2,2,2,NA,1,NA,8
"37870","세종","여자",15,1,3,2,2,2,2,1,2,NA,2,NA,8
"37871","세종","남자",30,1,3,2,1,1,3,3,2,NA,1,NA,2
"37872","세종","여자",24,1,1,2,2,1,1,1,2,NA,1,NA,2
"37873","세종","남자",54,3,2,3,2,1,2,2,2,NA,1,NA,6
"37874","세종","남자",17,1,3,3,2,2,2,2,2,NA,2,NA,6
"37875","세종","여자",60,2,3,3,2,2,2,2,2,NA,1,NA,6
"37876","세종","남자",45,2,3,3,1,1,2,3,2,NA,1,1,8
"37877","세종","여자",47,2,2,2,2,1,3,2,2,NA,1,NA,8
"37878","세종","여자",16,1,2,2,2,2,3,3,2,NA,2,NA,8
"37881","서울","남자",75,2,2,2,2,1,3,3,2,NA,2,2,3
"37882","서울","여자",72,2,2,3,2,2,3,3,2,NA,2,NA,3
"37883","세종","남자",37,2,3,3,1,1,3,2,2,NA,1,1,6
"37884","세종","여자",35,2,1,1,2,1,2,3,2,NA,1,NA,6
"37886","세종","남자",45,2,1,1,2,1,4,3,2,NA,1,2,4
"37887","세종","여자",45,2,3,2,2,1,3,3,2,NA,2,NA,4
"37888","세종","여자",17,1,3,2,2,2,4,2,2,NA,2,NA,4
"37889","세종","남자",14,1,2,1,2,2,2,2,2,NA,2,NA,4
"37890","세종","여자",61,2,2,4,2,1,3,3,2,NA,2,2,4
"37891","세종","남자",60,2,3,3,2,1,3,3,2,NA,2,NA,4
"37892","세종","남자",37,2,2,3,2,1,2,2,2,NA,1,2,3
"37893","세종","여자",33,2,1,3,2,1,2,3,2,NA,2,NA,3
"37896","세종","남자",54,2,1,2,2,1,4,3,2,NA,1,2,6
"37897","세종","여자",54,2,2,3,2,1,2,2,2,NA,2,NA,6
"37898","세종","남자",44,2,1,2,1,1,4,3,2,NA,1,1,6
"37899","세종","여자",40,2,1,2,2,1,4,3,2,NA,1,NA,6
"37901","세종","여자",15,1,1,1,2,2,3,3,2,NA,2,NA,6
"37902","세종","여자",51,2,3,3,2,2,2,2,2,NA,2,1,5
"37903","세종","여자",24,1,3,3,2,1,3,3,2,NA,2,NA,5
